iter	Passed	Remaining
459	808	948
460	809	946
461	810	944
462	812	942
463	813	939
464	814	937
465	816	935
466	817	933
467	819	931
468	820	929
469	821	926
470	823	924
471	824	922
472	825	920
473	827	917
474	828	915
475	830	913
476	831	911
477	833	909
478	834	907
479	835	905
480	837	903
481	838	900
482	839	898
483	840	896
484	841	893
485	843	892
486	844	889
487	846	887
488	847	885
489	849	883
490	850	881
491	851	879
492	853	877
493	854	875
494	856	873
495	857	871
496	858	869
497	860	867
498	861	865
499	863	863
500	865	861
501	866	859
502	868	857
503	869	855
504	870	853
505	872	851
506	874	850
507	875	847
508	876	845
509	878	843
510	879	841
511	880	839
512	882	837
513	883	835
514	884	833
515	886	831
516	888	829
517	890	828
518	892	827
519	894	825
520	895	823
521	897	821
522	898	819
523	899	816
524	900	814
525	901	812
526	902	810
527	904	808
528	905	806
529	907	804
530	908	802
531	910	800
532	911	798
533	912	796
534	914	795
535	916	793
536	917	791
537	919	789
538	920	787
539	921	785
540	922	782
541	924	780
542	925	779
543	926	776
544	928	774
545	929	772
546	931	771
547	932	769
548	934	767
549	935	765
550	937	763
551	938	761
552	939	759
553	941	757
554	942	755
555	944	753
556	945	751
557	946	749
558	947	747
559	948	745
560	950	744
561	952	741
562	953	740
563	955	738
564	957	737
565	958	735
566	960	733
567	961	731
568	963	729
569	964	727
570	966	726
571	968	724
572	969	722
573	971	720
574	973	719
575	974	717
576	975	715
577	977	713
578	978	711
579	980	710
580	981	707
581	982	705
582	984	704
583	985	701
584	986	699
585	987	697
586	989	696
587	990	694
588	992	692
589	994	690
590	995	689
591	997	687
592	998	685
593	999	683
594	1001	681
595	1002	679
596	1004	677
597	1005	675
598	1007	674
599	1008	672
600	1010	670
601	1011	668
602	1012	666
603	1014	664
604	1015	662
605	1017	661
606	1018	659
607	1019	657
608	1021	655
609	1022	653
610	1024	652
611	1025	650
612	1026	648
613	1027	646
614	1028	644
615	1030	642
616	1031	640
617	1033	638
618	1034	636
619	1036	635
620	1037	633
621	1039	631
622	1040	629
623	1042	628
624	1043	626
625	1045	624
626	1046	622
627	1048	620
628	1050	619
629	1052	618
630	1054	616
631	1056	614
632	1058	613
633	1059	611
634	1061	610
635	1063	608
636	1064	606
637	1066	605
638	1068	603
639	1070	602
640	1072	600
641	1074	598
642	1075	597
643	1077	595
644	1078	593
645	1080	591
646	1081	590
647	1083	588
648	1084	586
649	1085	584
650	1087	582
651	1089	581
652	1090	579
653	1093	578
654	1094	576
655	1096	574
656	1097	572
657	1099	571
658	1101	569
659	1103	568
660	1105	566
661	1108	565
662	1110	564
663	1111	562
664	1112	560
665	1114	558
666	1115	557
667	1117	555
668	1119	553
669	1120	552
670	1122	550
671	1124	548
672	1126	547
673	1127	545
674	1129	543
675	1130	541
676	1132	540
677	1134	538
678	1136	537
679	1137	535
680	1139	533
681	1140	531
682	1142	530
683	1144	528
684	1146	527
685	1147	525
686	1149	523
687	1151	522
688	1152	520
689	1154	518
690	1155	516
691	1156	514
692	1158	513
693	1159	511
694	1161	509
695	1162	507
696	1165	506
697	1167	504
698	1168	503
699	1170	501
700	1172	499
701	1173	498
702	1175	496
703	1177	495
704	1179	493
705	1180	491
706	1182	489
707	1184	488
708	1185	486
709	1186	484
710	1187	482
711	1188	480
712	1189	478
713	1190	476
714	1191	474
715	1192	472
716	1193	471
717	1194	469
718	1195	467
719	1196	465
720	1197	463
721	1198	461
722	1199	459
723	1200	457
724	1201	455
725	1202	453
726	1203	451
727	1204	449
728	1205	448
729	1206	446
730	1207	444
731	1208	442
732	1209	440
733	1210	438
734	1211	436
735	1212	434
736	1213	432
737	1214	431
738	1215	429
739	1216	427
740	1217	425
741	1218	423
742	1219	421
743	1220	420
744	1221	418
745	1222	416
746	1223	414
747	1224	412
748	1225	410
749	1226	408
750	1227	407
751	1228	405
752	1229	403
753	1231	401
754	1232	399
755	1233	398
756	1234	396
757	1235	394
758	1236	392
759	1237	390
760	1238	388
761	1239	387
762	1240	385
763	1241	383
764	1242	381
765	1244	380
766	1245	378
767	1246	376
768	1247	374
769	1248	372
770	1249	371
771	1250	369
772	1250	367
773	1252	365
774	1253	364
775	1255	362
776	1256	360
777	1258	359
778	1260	357
779	1262	356
780	1264	354
781	1265	352
782	1267	351
783	1269	349
784	1270	348
785	1272	346
786	1274	345
787	1276	343
788	1277	341
789	1279	339
790	1280	338
791	1282	336
792	1283	335
793	1285	333
794	1287	331
795	1289	330
796	1291	328
797	1293	327
798	1294	325
799	1296	324
800	1298	322
801	1299	320
802	1301	319
803	1303	317
804	1305	316
805	1307	314
806	1308	313
807	1310	311
808	1312	309
809	1314	308
810	1316	306
811	1318	305
812	1320	303
813	1321	301
814	1322	300
815	1324	298
816	1325	296
817	1326	295
818	1328	293
819	1329	291
820	1331	290
821	1332	288
822	1334	286
823	1335	285
824	1336	283
825	1338	281
826	1339	280
827	1341	278
828	1342	276
829	1344	275
830	1345	273
831	1347	272
832	1349	270
833	1350	268
834	1351	267
835	1353	265
836	1355	263
837	1357	262
838	1358	260
839	1359	259
840	1361	257
841	1362	255
842	1364	254
843	1366	252
844	1367	250
845	1369	249
846	1370	247
847	1372	245
848	1373	244
849	1375	242
850	1377	241
851	1378	239
852	1380	237
853	1381	236
854	1382	234
855	1384	232
856	1385	231
857	1387	229
858	1389	228
859	1391	226
860	1393	224
861	1395	223
862	1396	221
863	1398	220
864	1399	218
865	1400	216
866	1402	215
867	1404	213
868	1405	211
869	1407	210
870	1408	208
871	1410	207
872	1411	205
873	1414	203
874	1415	202
875	1416	200
876	1418	198
877	1420	197
878	1421	195
879	1424	194
880	1426	192
881	1427	191
882	1429	189
883	1432	187
884	1433	186
885	1435	184
886	1437	183
887	1438	181
888	1440	179
889	1441	178
890	1443	176
891	1445	175
892	1447	173
893	1449	171
894	1450	170
895	1452	168
896	1454	166
897	1455	165
898	1456	163
899	1459	162
900	1461	160
901	1462	158
902	1464	157
903	1465	155
904	1468	154
905	1469	152
906	1471	150
907	1473	149
908	1475	147
909	1476	146
910	1478	144
911	1479	142
912	1481	141
913	1482	139
914	1484	137
915	1485	136
916	1487	134
917	1488	132
918	1490	131
919	1491	129
920	1493	128
921	1494	126
922	1497	124
923	1498	123
924	1500	121
925	1501	119
926	1503	118
927	1504	116
928	1506	115
929	1507	113
930	1508	111
931	1510	110
932	1512	108
933	1513	106
934	1515	105
935	1516	103
936	1518	102
937	1519	100
938	1522	98
939	1523	97
940	1525	95
941	1527	94
942	1529	92
943	1531	90
944	1532	89
945	1535	87
946	1537	86
947	1539	84
948	1540	82
949	1542	81
950	1543	79
951	1545	77
952	1547	76
953	1549	74
954	1550	73
955	1552	71
956	1553	69
957	1554	68
958	1556	66
959	1557	64
960	1559	63
961	1560	61
962	1562	60
963	1563	58
964	1565	56
965	1566	55
966	1568	53
967	1569	51
968	1571	50
969	1572	48
970	1574	47
971	1575	45
972	1577	43
973	1578	42
974	1580	40
975	1582	38
976	1583	37
977	1584	35
978	1585	34
979	1587	32
980	1588	30
981	1590	29
982	1592	27
983	1595	25
984	1596	24
985	1599	22
986	1601	21
987	1603	19
988	1605	17
989	1607	16
990	1609	14
991	1612	13
992	1614	11
993	1616	9
994	1618	8
995	1621	6
996	1625	4
997	1627	3
998	1630	1
999	1632	0
